guid	text_clean	tag	img_path	img_exists	img_ok
4726		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4726.jpg	True	True
209		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\209.jpg	True	True
4394		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4394.jpg	True	True
3286		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3286.jpg	True	True
2723		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2723.jpg	True	True
4302		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4302.jpg	True	True
1744		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1744.jpg	True	True
2812		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2812.jpg	True	True
3041		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3041.jpg	True	True
197		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\197.jpg	True	True
5100		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\5100.jpg	True	True
1876		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1876.jpg	True	True
2959		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2959.jpg	True	True
4961		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4961.jpg	True	True
4792		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4792.jpg	True	True
769		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\769.jpg	True	True
666		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\666.jpg	True	True
1255		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1255.jpg	True	True
3787		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3787.jpg	True	True
3379		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3379.jpg	True	True
316		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\316.jpg	True	True
3654		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3654.jpg	True	True
4556		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4556.jpg	True	True
3474		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3474.jpg	True	True
1340		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1340.jpg	True	True
610		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\610.jpg	True	True
697		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\697.jpg	True	True
5010		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\5010.jpg	True	True
1080		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1080.jpg	True	True
4359		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4359.jpg	True	True
969		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\969.jpg	True	True
4762		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4762.jpg	True	True
3853		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3853.jpg	True	True
1346		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1346.jpg	True	True
4608		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4608.jpg	True	True
723		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\723.jpg	True	True
502		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\502.jpg	True	True
77		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\77.jpg	True	True
4198		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4198.jpg	True	True
3687		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3687.jpg	True	True
432		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\432.jpg	True	True
762		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\762.jpg	True	True
4391		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4391.jpg	True	True
4858		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4858.jpg	True	True
3534		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3534.jpg	True	True
2051		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2051.jpg	True	True
1113		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1113.jpg	True	True
1988		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1988.jpg	True	True
1026		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1026.jpg	True	True
1987		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1987.jpg	True	True
2064		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2064.jpg	True	True
3670		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3670.jpg	True	True
3675		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3675.jpg	True	True
3915		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3915.jpg	True	True
1383		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1383.jpg	True	True
4808		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4808.jpg	True	True
520		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\520.jpg	True	True
675		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\675.jpg	True	True
4513		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4513.jpg	True	True
2618		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2618.jpg	True	True
3574		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3574.jpg	True	True
3959		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3959.jpg	True	True
587		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\587.jpg	True	True
970		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\970.jpg	True	True
3752		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3752.jpg	True	True
11		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\11.jpg	True	True
2813		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2813.jpg	True	True
168		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\168.jpg	True	True
4331		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4331.jpg	True	True
4946		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4946.jpg	True	True
3364		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3364.jpg	True	True
3528		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3528.jpg	True	True
9		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\9.jpg	True	True
2832		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2832.jpg	True	True
975		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\975.jpg	True	True
491		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\491.jpg	True	True
4734		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4734.jpg	True	True
4511		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4511.jpg	True	True
4740		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4740.jpg	True	True
4899		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4899.jpg	True	True
3197		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3197.jpg	True	True
1570		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1570.jpg	True	True
3870		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3870.jpg	True	True
1385		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1385.jpg	True	True
2033		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2033.jpg	True	True
2439		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2439.jpg	True	True
1361		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1361.jpg	True	True
1167		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1167.jpg	True	True
4025		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4025.jpg	True	True
1087		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1087.jpg	True	True
4873		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4873.jpg	True	True
350		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\350.jpg	True	True
1752		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1752.jpg	True	True
2100		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2100.jpg	True	True
57		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\57.jpg	True	True
2923		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2923.jpg	True	True
1701		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1701.jpg	True	True
4512		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4512.jpg	True	True
444		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\444.jpg	True	True
3907		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3907.jpg	True	True
3798		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3798.jpg	True	True
4634		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4634.jpg	True	True
2488		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2488.jpg	True	True
3669		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3669.jpg	True	True
2734		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2734.jpg	True	True
4148		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4148.jpg	True	True
2787		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2787.jpg	True	True
713		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\713.jpg	True	True
2091		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2091.jpg	True	True
2655		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2655.jpg	True	True
4812		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4812.jpg	True	True
595		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\595.jpg	True	True
2382		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2382.jpg	True	True
1795		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1795.jpg	True	True
3547		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3547.jpg	True	True
2455		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2455.jpg	True	True
1790		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1790.jpg	True	True
1991		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1991.jpg	True	True
598		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\598.jpg	True	True
35		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\35.jpg	True	True
2605		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2605.jpg	True	True
3027		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3027.jpg	True	True
825		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\825.jpg	True	True
4492		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4492.jpg	True	True
2933		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2933.jpg	True	True
4667		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4667.jpg	True	True
2547		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2547.jpg	True	True
3327		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3327.jpg	True	True
3132		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3132.jpg	True	True
990		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\990.jpg	True	True
4347		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4347.jpg	True	True
2710		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2710.jpg	True	True
1284		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1284.jpg	True	True
3996		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3996.jpg	True	True
3546		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3546.jpg	True	True
933		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\933.jpg	True	True
4694		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4694.jpg	True	True
4769		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4769.jpg	True	True
4360		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4360.jpg	True	True
1932		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1932.jpg	True	True
3384		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3384.jpg	True	True
2666		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2666.jpg	True	True
2333		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2333.jpg	True	True
1758		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1758.jpg	True	True
4109		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4109.jpg	True	True
4737		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4737.jpg	True	True
3811		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3811.jpg	True	True
3719		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3719.jpg	True	True
4008		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4008.jpg	True	True
1244		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1244.jpg	True	True
4338		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4338.jpg	True	True
1675		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1675.jpg	True	True
3841		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3841.jpg	True	True
368		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\368.jpg	True	True
78		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\78.jpg	True	True
519		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\519.jpg	True	True
2916		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2916.jpg	True	True
5055		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\5055.jpg	True	True
1211		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1211.jpg	True	True
1540		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1540.jpg	True	True
4918		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4918.jpg	True	True
402		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\402.jpg	True	True
3964		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3964.jpg	True	True
4018		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4018.jpg	True	True
4143		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4143.jpg	True	True
2872		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2872.jpg	True	True
1953		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1953.jpg	True	True
75		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\75.jpg	True	True
4590		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4590.jpg	True	True
1101		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1101.jpg	True	True
1397		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1397.jpg	True	True
